ESP,GIT,CE,RED,MF
TEL,8.6667,7.6667,10.0,8.3889
TEL,9.0,7.3333,10.0,8.3333
TEL,7.3333,7.6667,10.0,7.9445
TEL,8.0,6.3333,9.8,7.4667
TEL,8.0,6.0,9.6,7.2667
TEL,8.0,5.6667,9.4,7.0667
TEL,7.6667,5.6667,9.6,6.9889
TEL,8.0,5.6667,8.4,6.9
TEL,7.3333,5.6667,9.6,6.8778
TEL,7.3333,5.3333,9.6,6.7111
TEL,7.0,5.6667,9.2,6.7
TEL,7.6667,5.0,9.8,6.6889
TEL,6.3333,5.6667,9.8,6.5778
TEL,7.3333,5.0,9.4,6.5111
TEL,5.6667,5.3333,9.4,6.1222
QUI,9.3333,8.6667,10.0,9.1111
QUI,8.6667,9.0,10.0,9.0556
QUI,9.0,8.6667,9.8,8.9667
QUI,9.3333,8.3333,10.0,8.9444
QUI,9.3333,8.3333,10.0,8.9444
QUI,8.3333,8.6667,10.0,8.7778
QUI,8.3333,8.6667,9.4,8.6778
QUI,7.3333,9.0,10.0,8.6111
QUI,8.3333,8.3333,10.0,8.6111
QUI,9.0,8.0,9.6,8.6
QUI,7.6667,9.0,9.2,8.5889
QUI,8.3333,8.3333,9.8,8.5778
QUI,8.6667,8.3333,8.9,8.5389
QUI,6.6667,9.3333,9.6,8.4889
QUI,8.3333,8.6667,7.9,8.4278
QUI,8.6667,8.0,9.0,8.3889
MTL,8.3333,9.3333,10.0,9.1111
MTL,9.3333,8.3333,9.6,8.8778
MTL,9.0,8.0,10.0,8.6667
MTL,8.0,8.6667,9.2,8.5334
MTL,7.6667,8.3333,9.4,8.2889
MTL,8.0,7.6667,10.0,8.1667
MTL,7.0,8.6667,8.7,8.1167
MTL,7.0,8.3333,9.2,8.0333
MTL,8.6667,7.0,9.2,7.9222
MTL,8.0,8.0,7.3,7.8833
MTL,6.3333,8.3333,9.3,7.8278
MTL,8.0,7.0,9.6,7.7667
MTL,6.0,8.6667,8.4,7.7334
MTL,7.3333,7.3333,9.6,7.7111
MTL,6.3333,8.0,9.4,7.6778
MTL,8.3333,6.6667,6.3,7.1611
MEC,9.3333,10.0,10.0,9.7778
MEC,9.3333,10.0,10.0,9.7778
MEC,9.3333,10.0,10.0,9.7778
MEC,9.3333,10.0,9.4,9.6778
MEC,9.0,10.0,10.0,9.6667
MEC,9.0,10.0,10.0,9.6667
MEC,9.3333,9.6667,10.0,9.6111
MEC,9.3333,9.6667,9.8,9.5778
MEC,9.3333,9.6667,9.8,9.5778
MEC,8.6667,10.0,10.0,9.5556
MEC,9.3333,9.6667,9.5,9.5278
MEC,9.0,9.6667,10.0,9.5
MEC,9.0,9.6667,9.8,9.4667
MEC,9.0,9.6667,9.8,9.4667
MEC,9.0,9.6667,9.6,9.4334
MEC,8.3333,10.0,9.8,9.4111
MEC,8.3333,10.0,9.4,9.3444
MEC,9.0,9.6667,8.8,9.3
MEC,8.6667,9.3333,10.0,9.2222
MEC,8.3333,9.6667,9.6,9.2111
MEC,9.3333,9.0,9.6,9.2111
MEC,8.6667,9.3333,9.8,9.1889
MEC,8.6667,9.3333,9.6,9.1556
MEC,8.0,9.6667,7.6,8.7667
ELT,9.3333,9.3333,9.8,9.4111
ELT,9.6667,9.0,10.0,9.3889
ELT,9.0,9.3333,10.0,9.3333
ELT,8.6667,9.6667,9.6,9.3223
ELT,8.3333,9.6667,9.2,9.1445
ELT,9.3333,8.6667,9.8,9.0778
ELT,8.3333,9.6667,8.7,9.0611
ELT,8.6667,9.0,10.0,9.0556
ELT,8.6667,9.0,10.0,9.0556
ELT,8.3333,9.3333,9.4,9.0111
ELT,8.3333,9.3333,8.8,8.9111
ELT,8.3333,9.0,9.6,8.8778
ELT,8.6667,9.3333,7.9,8.8722
ELT,8.6667,8.6667,9.8,8.8556
ELT,8.0,9.0,10.0,8.8333
ELT,8.3333,8.6667,10.0,8.7778
ELT,9.0,8.6667,8.6,8.7667
ELT,9.0,8.3333,9.6,8.7667
ELT,9.0,8.3333,9.5,8.75
ELT,7.3333,9.3333,9.6,8.7111
ELT,8.6667,9.0,6.8,8.5222
ELT,9.6667,8.0,7.7,8.5056
ELT,8.3333,7.6667,9.8,8.2445
ELT,8.0,8.0,9.0,8.1667
ELN,8.6667,9.3333,9.4,9.1222
ELN,8.6667,9.0,9.4,8.9556
ELN,9.3333,8.3333,9.8,8.9111
ELN,9.6667,8.0,9.4,8.7889
ELN,9.3333,8.0,9.8,8.7444
ELN,7.6667,9.0,9.4,8.6222
ELN,7.6667,8.6667,10.0,8.5556
ELN,8.0,8.3333,9.1,8.35
ELN,9.0,7.3333,9.6,8.2667
ELN,8.3333,8.0,8.9,8.2611
ELN,9.3333,7.0,9.6,8.2111
ELN,6.6667,8.6667,9.4,8.1223
ELN,8.3333,7.6667,8.8,8.0778
ELN,7.3333,8.0,9.4,8.0111
ELN,8.3333,7.0,9.8,7.9111
ELN,8.0,7.3333,8.8,7.8
ELN,9.0,6.0,9.6,7.6
ELN,7.3333,7.0,9.6,7.5444
ELN,7.6667,7.0,8.8,7.5222
ELN,7.3333,7.0,9.4,7.5111
ELN,6.3333,7.6667,9.2,7.4778
ELN,7.3333,7.0,9.2,7.4778
ELN,8.3333,6.0,9.3,7.3278
ELN,7.3333,5.3333,9.0,6.6111
CMP,8.6667,8.6667,9.6,8.8223
CMP,9.0,8.0,9.4,8.5667
CMP,8.6667,8.3333,8.8,8.5222
CMP,9.0,8.0,9.1,8.5167
CMP,8.3333,8.0,10.0,8.4444
CMP,9.0,7.6667,9.4,8.4
CMP,8.6667,7.6667,10.0,8.3889
CMP,7.6667,8.0,10.0,8.2222
CMP,8.0,7.6667,10.0,8.1667
CMP,8.3333,7.6667,9.2,8.1445
CMP,8.0,7.3333,9.8,7.9667
CMP,8.3333,7.3333,9.1,7.9611
CMP,8.6667,7.0,9.2,7.9222
CMP,7.6667,7.6667,9.1,7.9056
CMP,8.6667,6.6667,10.0,7.8889
CMP,8.6667,6.6667,9.8,7.8556
CMP,7.3333,7.6667,9.4,7.8445
CMP,8.0,7.0,10.0,7.8333
CMP,8.3333,6.6667,9.6,7.7111
CMP,8.3333,6.6667,9.6,7.7111
CMP,8.3333,6.6667,9.4,7.6778
CMP,8.6667,6.3333,9.0,7.5556
CMP,8.0,6.6667,9.2,7.5334
CMP,7.6667,6.6667,9.8,7.5223
CMP,7.3333,7.6667,7.4,7.5111
