ESP,RED,GIT,CE,MF
TEL,7.2,9.0,7.6667,8.0334
TEL,6.9,7.6667,8.0,7.7056
TEL,7.3,7.6667,7.0,7.2722
TEL,6.6,9.0,6.3333,7.2667
TEL,6.5,8.6667,6.3333,7.1389
TEL,7.4,9.0,5.6667,7.0667
TEL,9.4,6.0,6.6667,6.9
TEL,7.1,8.6667,5.0,6.5722
QUI,6.1,8.6667,10.0,8.9056
QUI,6.7,10.0,8.0,8.45
QUI,6.7,9.0,8.3333,8.2833
QUI,6.0,9.0,8.0,8.0
QUI,4.9,8.6667,7.6667,7.5389
QUI,5.0,8.0,8.0,7.5
QUI,3.0,9.3333,7.3333,7.2778
QUI,2.5,9.3333,7.3333,7.1944
MEC,10.0,10.0,9.0,9.5
MEC,9.3,9.3333,9.6667,9.4945
MEC,8.4,9.3333,9.6667,9.3445
MEC,9.4,8.6667,9.6667,9.2889
MEC,7.7,9.6667,9.3333,9.1722
MEC,7.3,9.3333,9.6667,9.1611
MEC,7.1,9.3333,9.6667,9.1278
MEC,9.3,8.6667,9.3333,9.1056
MEC,8.2,9.6667,9.0,9.0889
MEC,8.1,9.6667,9.0,9.0722
MEC,7.5,9.3333,9.3333,9.0278
MEC,7.5,9.3333,9.3333,9.0278
MEC,5.9,10.0,9.3333,8.9833
MEC,6.1,9.3333,9.6667,8.9611
MEC,6.2,8.6667,10.0,8.9222
MEC,7.1,8.6667,9.6667,8.9056
MEC,8.4,9.0,9.0,8.9
MEC,8.1,9.0,9.0,8.85
MEC,5.4,9.3333,9.6667,8.8445
MEC,7.3,8.6667,9.3333,8.7722
MEC,6.8,9.3333,9.0,8.7444
MEC,7.1,8.6667,9.3333,8.7389
MEC,6.9,9.0,9.0,8.65
MEC,6.2,9.3333,9.0,8.6444
MEC,8.0,8.3333,9.0,8.6111
MEC,6.0,8.6667,9.3333,8.5556
MEC,5.9,9.6667,8.6667,8.5389
MEC,5.8,8.6667,9.3333,8.5222
MEC,5.6,9.3333,8.6667,8.3778
MEC,4.1,9.0,9.3333,8.35
MEC,5.3,9.6667,8.3333,8.2722
MEC,4.0,9.3333,8.6667,8.1111
ELT,8.2,10.0,8.3333,8.8667
ELT,7.9,9.0,8.3333,8.4833
ELT,9.8,9.6667,6.3333,8.0222
ELT,8.0,9.0,7.3333,8.0
ELT,9.6,9.6667,6.3333,7.9889
ELT,8.1,9.0,7.0,7.85
ELT,5.5,8.6667,8.0,7.8056
ELT,8.7,8.6667,6.3333,7.5056
ELT,8.6,9.0,6.0,7.4333
ELT,6.4,9.0,6.6667,7.4
ELT,8.4,9.3333,5.6667,7.3445
ELT,9.4,9.3333,5.3333,7.3444
ELT,6.5,7.6667,7.3333,7.3056
ELT,5.9,9.3333,6.3333,7.2611
ELT,6.0,9.0,6.3333,7.1667
ELT,3.5,8.6667,7.3333,7.1389
ELT,7.2,8.6667,6.0,7.0889
ELT,6.7,9.3333,5.6667,7.0611
ELT,8.4,8.3333,5.6667,7.0111
ELT,5.5,8.6667,6.3333,6.9722
ELT,7.1,8.3333,6.0,6.9611
ELT,7.3,8.6667,5.6667,6.9389
ELT,6.8,8.3333,6.0,6.9111
ELT,7.7,7.3333,6.3333,6.8944
ELT,7.2,8.0,6.0,6.8667
ELT,9.5,8.3333,5.0,6.8611
ELT,7.0,9.0,5.3333,6.8333
ELT,7.6,7.6667,6.0,6.8222
ELT,7.0,7.3333,6.3333,6.7778
ELT,6.1,7.0,6.6667,6.6834
ELT,5.6,7.6667,6.3333,6.6556
ELT,6.0,8.3333,5.6667,6.6111
ELT,4.9,7.3333,6.6667,6.5945
ELT,5.6,9.3333,5.0,6.5444
ELT,7.2,7.6667,5.3333,6.4222
ELT,6.4,7.3333,5.3333,6.1778
ELT,2.2,8.3333,6.0,6.1444
ELT,3.7,8.0,5.6667,6.1167
ELT,1.7,9.3333,5.3333,6.0611
ELT,6.1,6.6667,5.3333,5.9056
ELN,7.6,7.6667,8.6667,8.1556
ELN,8.6,9.6667,7.0,8.1556
ELN,7.8,7.0,9.0,8.1333
ELN,8.0,10.0,6.6667,8.0
ELN,7.9,8.0,8.0,7.9833
ELN,8.9,8.3333,7.3333,7.9278
ELN,6.6,9.6667,7.0,7.8222
ELN,6.8,9.6667,6.6667,7.6889
ELN,9.0,8.0,7.0,7.6667
ELN,5.0,8.3333,8.0,7.6111
ELN,8.1,9.0,6.0,7.35
ELN,6.7,8.3333,6.6667,7.2278
ELN,6.3,8.6667,6.0,6.9389
ELN,7.0,8.6667,5.6667,6.8889
ELN,5.9,7.6667,6.6667,6.8723
ELN,6.9,8.3333,5.6667,6.7611
ELN,5.8,7.3333,6.6667,6.7445
ELN,7.8,7.6667,5.6667,6.6889
ELN,7.7,6.6667,6.3333,6.6722
ELN,5.5,7.6667,6.3333,6.6389
ELN,7.4,8.6667,5.0,6.6222
ELN,7.6,8.3333,5.0,6.5444
ELN,6.2,8.0,5.6667,6.5334
ELN,7.0,8.0,5.3333,6.5
